n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
26,6x6_2,random,6,0.138583,171,171,1,,K,1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
26,6x6_2,random,6,0.138583,171,171,1,,G,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
26,6x6_2,random,6,0.138583,171,171,1,,F,-1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,F,1
26,6x6_2,random,6,0.138583,171,171,1,,B,-1
26,6x6_2,random,6,0.138583,171,171,1,,E,1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,K,-1
26,6x6_2,random,6,0.138583,171,171,1,,B,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
26,6x6_2,random,6,0.138583,171,171,1,,K,-1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,I,-1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,I,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,I,-1
26,6x6_2,random,6,0.138583,171,171,1,,E,1
26,6x6_2,random,6,0.138583,171,171,1,,I,1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,E,1
26,6x6_2,random,6,0.138583,171,171,1,,I,-1
26,6x6_2,random,6,0.138583,171,171,1,,K,1
26,6x6_2,random,6,0.138583,171,171,1,,K,-1
26,6x6_2,random,6,0.138583,171,171,1,,L,1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,B,-1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,K,1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,E,1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,K,1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,F,-1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,H,1
26,6x6_2,random,6,0.138583,171,171,1,,L,1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,L,-1
26,6x6_2,random,6,0.138583,171,171,1,,L,1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,J,-1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,J,1
26,6x6_2,random,6,0.138583,171,171,1,,B,-1
26,6x6_2,random,6,0.138583,171,171,1,,H,1
26,6x6_2,random,6,0.138583,171,171,1,,H,-1
26,6x6_2,random,6,0.138583,171,171,1,,H,1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,B,1
26,6x6_2,random,6,0.138583,171,171,1,,E,1
26,6x6_2,random,6,0.138583,171,171,1,,E,-1
26,6x6_2,random,6,0.138583,171,171,1,,F,-1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,D,1
26,6x6_2,random,6,0.138583,171,171,1,,A,1
26,6x6_2,random,6,0.138583,171,171,1,,B,-1
26,6x6_2,random,6,0.138583,171,171,1,,C,1
26,6x6_2,random,6,0.138583,171,171,1,,D,1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
26,6x6_2,random,6,0.138583,171,171,1,,A,-1
26,6x6_2,random,6,0.138583,171,171,1,,D,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,-1
26,6x6_2,random,6,0.138583,171,171,1,,D,1
26,6x6_2,random,6,0.138583,171,171,1,,C,1
26,6x6_2,random,6,0.138583,171,171,1,,H,1
26,6x6_2,random,6,0.138583,171,171,1,,X,1
26,6x6_2,random,6,0.138583,171,171,1,,X,-1
26,6x6_2,random,6,0.138583,171,171,1,,G,1
