n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,F,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,F,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,F,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,H,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,F,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,E,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,G,1
25,6x6_2,random,6,4.016085,1733,1733,1,,B,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,I,1
25,6x6_2,random,6,4.016085,1733,1733,1,,J,1
25,6x6_2,random,6,4.016085,1733,1733,1,,X,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,1
25,6x6_2,random,6,4.016085,1733,1733,1,,L,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,-1
25,6x6_2,random,6,4.016085,1733,1733,1,,A,1
25,6x6_2,random,6,4.016085,1733,1733,1,,K,-1
