n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,F,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,F,1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,K,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,K,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,E,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,F,1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,I,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,B,-1
17,6x6_2,random,6,0.421809,454,454,1,,B,1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,L,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,I,1
17,6x6_2,random,6,0.421809,454,454,1,,L,1
17,6x6_2,random,6,0.421809,454,454,1,,I,-1
17,6x6_2,random,6,0.421809,454,454,1,,I,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,H,-1
17,6x6_2,random,6,0.421809,454,454,1,,A,-1
17,6x6_2,random,6,0.421809,454,454,1,,J,1
17,6x6_2,random,6,0.421809,454,454,1,,A,1
17,6x6_2,random,6,0.421809,454,454,1,,H,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,E,-1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,X,-1
17,6x6_2,random,6,0.421809,454,454,1,,F,1
17,6x6_2,random,6,0.421809,454,454,1,,X,1
17,6x6_2,random,6,0.421809,454,454,1,,F,-1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
17,6x6_2,random,6,0.421809,454,454,1,,G,1
