n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,C,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,D,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,L,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,G,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,1
15,6x6_2,random,6,2.44514,1385,1385,1,,H,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
15,6x6_2,random,6,2.44514,1385,1385,1,,F,1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,1
15,6x6_2,random,6,2.44514,1385,1385,1,,X,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,A,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,B,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,E,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,K,-1
15,6x6_2,random,6,2.44514,1385,1385,1,,J,1
