n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
48,6x6_2,random,6,1.579802,991,991,1,,D,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,D,-1
48,6x6_2,random,6,1.579802,991,991,1,,D,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,C,1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,C,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,H,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,D,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,F,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,H,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,H,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,F,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,F,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,B,1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,A,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,L,1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,B,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,L,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,I,1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,K,1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,J,1
48,6x6_2,random,6,1.579802,991,991,1,,K,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,1
48,6x6_2,random,6,1.579802,991,991,1,,G,-1
48,6x6_2,random,6,1.579802,991,991,1,,X,-1
48,6x6_2,random,6,1.579802,991,991,1,,E,1
48,6x6_2,random,6,1.579802,991,991,1,,G,1
48,6x6_2,random,6,1.579802,991,991,1,,I,-1
